# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -180.655
5000 -153.736
10000 -189.613
15000 -169.28
20000 -173.9
25000 -175.625
30000 -168.739
35000 -173.947
40000 -176.813
45000 -170.39
50000 -157.149
55000 -164.669
60000 -182.915
65000 -171.086
70000 -175.278
75000 -166.451
80000 -185.177
85000 -189.597
90000 -180.283
95000 -171.747
100000 -180.563
105000 -161.625
110000 -169.531
115000 -162.961
120000 -175.983
125000 -163.047
130000 -159.416
135000 -173.114
140000 -158.402
145000 -183.162
150000 -164.596
155000 -157.392
160000 -157.972
165000 -157.79
170000 -174.322
175000 -163.986
180000 -165.015
185000 -153.934
190000 -158.622
195000 -142.987
200000 -162.975
