# Time-averaged data for fix myat6
# TimeStep v_pressure
0 291.816
5000 335.989
10000 368.589
15000 323.938
20000 367.449
25000 322.837
30000 390.052
35000 330.645
40000 258.025
45000 368.523
50000 303.496
55000 372.309
60000 345.71
65000 334.626
70000 326.781
75000 381.196
80000 307.761
85000 378.001
90000 319.929
95000 321.426
100000 320.716
105000 342.708
110000 344.86
115000 316.897
120000 356.145
125000 460.889
130000 421.334
135000 414.264
140000 420.272
145000 335.456
150000 415.85
155000 314.097
160000 414.798
165000 374.814
170000 383.558
175000 305.861
180000 333.171
185000 353.801
190000 456.359
195000 386.186
200000 305.649
