step Epot press
0 8794.69 248.50
10 7421.00 248.50
20 7406.55 248.41
30 7403.86 248.43
40 7400.42 248.43
50 7400.43 248.46
60 7400.26 248.51
70 7400.34 248.64
80 7386.56 248.95
90 7385.30 248.95
100 7384.86 248.95
110 913.20 248.95
120 913.54 248.94
130 882.35 248.96
140 785.34 248.92
150 783.15 249.77
160 603.01 249.77
170 293.46 249.71
180 265.51 249.68
190 116.08 249.67
200 116.55 249.70
210 116.17 249.68
220 115.75 250.44
230 115.64 250.43
240 114.71 250.43
250 111.74 248.30
260 111.62 248.40
270 112.00 248.44
280 107.61 248.44
290 107.48 248.47
300 107.57 248.31
310 91.24 249.18
320 91.41 249.18
330 91.34 249.22
340 45.01 249.08
350 43.72 249.07
360 10.11 249.07
370 9.89 248.61
380 9.56 248.56
390 9.65 248.55
400 4.54 265.39
410 0.13 265.17
420 0.27 265.12
430 0.01 251.22
440 -2.12 251.15
450 -4.15 251.17
460 -4.54 251.21
470 -4.44 251.21
480 -4.21 251.25
490 -3.76 251.25
500 -4.23 251.12
510 -3.96 249.15
520 -3.68 261.26
530 -2.76 261.21
540 -3.35 261.20
550 -3.46 261.26
560 -3.54 261.26
570 -3.53 261.39
580 -3.42 261.24
590 -3.25 261.23
600 -4.40 255.97
610 -4.51 252.83
620 -4.39 252.84
630 -4.07 252.90
640 -4.07 249.18
650 -4.33 249.32
660 -3.98 249.31
670 -2.75 249.32
680 -2.97 249.32
690 -3.19 249.34
700 -3.31 248.42
710 -3.39 248.41
720 -3.37 247.50
730 -3.96 247.42
740 -4.48 247.45
750 -4.37 247.48
760 -4.39 247.48
770 -4.48 247.45
780 -4.43 247.49
790 -4.51 247.61
800 -4.38 247.61
810 -4.15 247.58
820 -3.73 247.66
830 -3.82 247.77
840 -3.74 248.08
850 -3.95 248.12
860 -3.81 247.98
870 -2.74 247.91
880 -2.75 248.01
890 -2.78 248.04
900 -1.87 248.03
910 -2.31 248.03
920 -2.21 248.05
930 -1.41 248.02
940 -1.45 248.02
950 1.08 248.01
960 0.50 248.01
970 1.11 247.90
980 0.58 247.96
990 0.63 248.00
1000 0.01 247.99
